Catégorie;Emoji;Nom;Adresse;Note;Latitude;Longitude;Nb Avis;Téléphone;Horaires / Notes
home;🏠;Dar Ben Cheikh;Agadir;;30.361823687819253;-9.436652468018211;;;
transport;🚌;Douar Ben Cheikh Centre;;;30.3656874;-9.4309098;;;
transport;🚌;Douar Ben Cheikh;;;30.3652662;-9.4380927;;;
transport;🚌;Ecole Primaire Al Majd;;;30.3647941;-9.4473785;;;
pharmacie;💊;Pharmacie Dar Ben Cheikh صيدلية دار بن شيخ;Temsia ⵜⴻⵎⵙⵉⵢⴰ التمسية;;30.3640524;-9.4318327;;;
ecole;🎓;مدرسة الرجاء;;;30.3652627;-9.4507612;;;
ecole;🎓;مدرسة أبي ذر الغفاري;;;30.3652934;-9.421385;;;
ecole;🎓;(م/م الرشاد (ف دار بن الشيخ;;;30.3611548;-9.434001;;;
ecole;🎓;مدرسة الأمل;;;30.3673478;-9.448326;;;
